発注先,カテゴリ,商品種別,商品名,規格・サイズ,入数/1LOT,単位,単価(税抜),消費税区分
フードマン,ドリンク,限定商品,ハロウィンシュガー,ﾊﾞｽｺﾌｰｽﾞ ﾄｯﾋﾟﾝｸﾞｽﾌﾟﾘﾝｸﾙ ｼｭｶﾞｰｽﾄﾗﾝﾄﾞﾊﾛｳｨﾝ 380g,1本,1本,1720,軽8%
フードマン,ドリンク,限定商品,桜ラテ粉,さくらラテ　104g,1袋,1袋,421,軽8%
フードマン,ドリンク,限定商品,桜ソース,さくらソース　500g,12本,1箱,9331,軽8%
不明,,,さくらクランチ,３０g　Wサクラクランチ,1袋,1箱,788,標準10%
フードマン,ドリンク,限定商品,紫いも粉,紫芋の粉　100g,10袋,1箱,2268,軽8%
フードマン,ドリンク,限定商品,モナオーレ焼き芋,ハーダース　モナオーレ焼いも（バラ単位・冷凍）420ml,1本,1本,1021,軽8%
フードマン,ドリンク,限定商品,マロンカット,三島マロン(カット)200g,10袋,1箱,4373,標準10%
フードマン,ドリンク,限定商品,チョコドリンクベース,チョコドリンクベースDX(バラ)630g,1本,1本,848,軽8%
フードマン,フード,かき氷,ブロック氷,かき氷用ブロックアイス1.7kg,8個,1箱,2131,標準10%
フードマン,フード,かき氷,北海道ミルク,北海道コンデンスミルクバラ1kg,1本,1本,1054,標準10%
フードマン,ドリンク,限定商品,和栗フレーバーソース,フレーバーソース和栗バラ300ml,1本,1本,566,標準10%
三本珈琲,ドリンク,限定商品,シュガーゴールド,ﾊﾞｽｺﾌｰｽﾞ LS1207ｼｭｶﾞｰﾗﾝﾄﾞｼﾝｸﾞﾙｺﾞｰﾙﾄﾞ,1本,1本,1720,軽8%
フードマン,ドリンク,限定商品,ホワイトチョコソース,ホワイトチョコレートソース,2L/1本,1本,3496,標準10%
不明,ドリンク,限定商品,FDカットイチゴ,60g入り,1個,1個,996,軽8%
フードマン,ドリンク,限定商品,アールグレイ,GS　ブラックティアールグレイ500ml,12本,1箱,6859,軽8%
不明,ドリンク,限定商品,練りごま,100g　市販品,1個,1個,358,標準10%
フードマン,フード,,塩昆布,市販品,1袋,1袋,100,標準10%
鈴木珈琲,ドリンク,珈琲,アイスコーヒー,鎌倉オリジナルブレンド(アイス)500g　袋,8袋,1箱,10664,軽8%
鈴木珈琲,ドリンク,珈琲,ホットコーヒー,鎌倉オリジナルブレンド(ホット)500g　袋,8袋,1箱,10664,軽8%
鈴木珈琲,ドリンク,限定商品,ミュクレショコラ,ｿﾌﾄｻｰﾌﾞﾐｯｸｽﾐｭｸﾚｼｮｺﾗ 1L,12本,1箱,11793,標準10%
アイディアハウス,ドリンク,ドリンク共通,ドリンクS,ラウンデットカップ360ml 12oz,50枚*20本,1箱,9643,標準10%
アイディアハウス,ドリンク,ドリンク共通,ドリンク通常,ラウンデットカップ500ml 16oz,50枚*20本,1箱,10000,標準10%
アイディアハウス,ドリンク,ドリンク共通,ストロー12mm,12mmストロー,50本*45袋,1箱,3899,標準10%
アイディアハウス,ドリンク,ドリンク共通,ドーム蓋,ドームフタ,50個/40袋,1箱,6510,標準10%
